track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
3QwBODjSEzelZyVjxPOHdq,Otra vez (feat. J Balvin),21451j1KhjAiaYKflxBjr1,Zion & Lennox,22lEQJ7khtB2yvsq84FDQb,209453,2016-09-30,73,0.832,0.772,10,-5.429,1,0.1,0.0559,0.000486,0.44,0.704,96.016
4Q4jmPHwu0wrJvqrld0FQ6,I Would Like,1Xylc3o4UrD53lo9CvFvVg,Zara Larsson,5YLRVHDVRw3QqWbeTGpC5B,226720,2017-03-17,58,0.486,0.713,2,-3.949,0,0.0524,0.0853,0.0,0.0839,0.297,121.028
1a5Yu5L18qNxVhXx38njON,Hear Me Now,0NGAZxHanS9e0iNHpR8f2W,Alok,6apmeAAgvzvhBKio8WYThf,192846,2016-01-01,53,0.788,0.43,11,-7.757,1,0.0419,0.537,0.00261,0.0936,0.461,121.996
1cG0umU5TKStygKsPFZ9pY,Shed a Light,3t5xRXzsuZmMDkQzgOX35S,Robin Schulz,6yKhjUoOsHa60DSqpugerw,191379,2016-11-25,60,0.483,0.787,8,-5.244,1,0.102,0.112,0.0,0.257,0.58,122.058
0SGkqnVQo9KPytSri1H6cF,Bounce Back,0c173mlxpT3dSFRgMO8XPh,Big Sean,0XAIjjN5qxViVS0Y5fYkar,222360,2017-02-03,71,0.78,0.575,1,-5.628,0,0.139,0.106,0.0,0.129,0.273,81.502
3hB5DgAiMAQ4DzYbsMq1IT,Love Yourself,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,7fZH0aUAjY3ay25obOUf2a,233720,2015-11-13,0,0.609,0.378,4,-9.828,1,0.438,0.835,0.0,0.28,0.515,100.418
2aFiaMXmWsM3Vj72F9ksBl,Cake By The Ocean,6T5tfhQCknKG4UnH90qGnz,DNCE,7K89F9bgY1jks0uIlMerm3,219146,2016-11-18,0,0.774,0.764,4,-5.445,0,0.0518,0.156,0.0,0.0383,0.912,118.997
4F7A0DXBrmUAkp32uenhZt,Party Monster,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,2ODvWsOgouMbaA5xf0RkJe,249213,2016-11-25,76,0.573,0.63,1,-8.389,1,0.105,0.189,2.31e-05,0.259,0.218,77.525
69bp2EbF7Q2rqc5N3ylezZ,Sorry,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,7fZH0aUAjY3ay25obOUf2a,200786,2015-11-13,0,0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945
2Z8WuEywRWYTKe1NybPQEW,Ride,3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,3cQO7jp5S9qLBoIVtbkSM1,214506,2015-05-15,82,0.645,0.713,6,-5.355,1,0.0393,0.00835,0.0,0.113,0.566,74.989
0sXvAOmXgjR2QUqLK1MltU,La Bicicleta,4vhNDa5ycK0ST968ek7kRr,Carlos Vives,6bUxh58rYTL67FS8dyTKMN,227706,2017-05-26,59,0.736,0.964,0,-2.147,1,0.129,0.198,2.32e-06,0.336,0.953,179.935
5bZtRlMBU76vHuDOb1GM5u,Perfect Strangers,1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,0zMLyv1kNV2B0LDGEK2RbB,195313,2017-07-14,40,0.739,0.833,1,-5.012,1,0.0463,0.35,0.0,0.266,0.699,117.99
5OOkp4U9P9oL23maHFHL1h,Panda,7pFeBzX627ff0VnN6bxPR4,Desiigner,2SaYqv9d4lxLBm5nYPJHWh,246761,2016-06-26,0,0.576,0.766,10,-4.943,0,0.449,0.028,1.68e-06,0.366,0.236,144.833
11KJSRSgaDxqydKYiD2Jew,Too Good,3TVXtAsR1Inumwj472S9r4,Drake,3hARKC8cinq3mZLLAEaBh9,263373,2016-05-06,0,0.804,0.648,7,-7.805,1,0.117,0.0573,3.49e-05,0.102,0.392,117.983
5hYTyyh2odQKphUbMqc5gN,"How Far I'll Go - From ""Moana""",2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,25IBuKrmZbgOVCGNigTXar,175517,2016-10-28,0,0.314,0.555,9,-9.601,1,0.37,0.157,0.000108,0.067,0.159,179.666
3AsAuGTaDQzavZZThyYlop,Sexual,5H6xmHXjsq98NLbEjuE29f,NEIKED,39NO201BzBWoBo9WGBp6Dt,188888,2016-08-26,0,0.803,0.569,2,-7.392,1,0.0739,0.0623,0.0,0.083,0.809,107.986
7yHEDfrJNd0zWOfXwydNH0,Into You,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,4lVR2fg3DAUQpGVJ6DciHW,244453,2016-05-20,0,0.636,0.727,9,-5.852,1,0.106,0.0161,1.12e-06,0.151,0.358,107.988
3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,3cQO7jp5S9qLBoIVtbkSM1,202333,2015-05-15,85,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977
6I6NX6tjGsxFAsIfGzY9lJ,Deja Vu,6l3HvQ5sa6mXTsMTB19rO5,J. Cole,3CCnGldVQ90c26aFATC1PW,264746,2016-12-09,72,0.657,0.421,9,-11.378,1,0.412,0.352,0.000218,0.187,0.181,174.063
58IL315gMSTD37DOZPJ2hf,Shaky Shaky,4VMYDCV2IEDYJArk749S6m,Daddy Yankee,2zrLk90b4qjmrxRZKyIY7X,234320,2016-04-08,0,0.899,0.626,6,-4.228,0,0.292,0.076,0.0,0.0631,0.873,88.007
7gHs73wELdeycvS48JfIos,Faded,7vk5e3vY1uw9plTHJAMwjN,Alan Walker,5HMjpBO0v78ayq5lreAyDd,212626,2015-12-04,73,0.589,0.651,6,-5.097,1,0.0306,0.0291,3.2e-06,0.111,0.166,90.011
